ID,Title,Directed by,Produced by,Cinematography,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Production companies,Release Year,SentimentScore,Budget (float),Box Office Status
1652,Ad Astra,James Gray,"['Brad Pitt', 'Dede Gardner', 'Jeremy Kleiner', 'James Gray', 'Anthony Katagas', 'Rodrigo Teixeira', 'Arnon Milchan']",Hoyte van Hoytema,124.0,2019-08-29,20th Century Fox,English,"['James Gray', 'Ethan Gross']","['Brad Pitt', 'Tommy Lee Jones', 'Ruth Negga', 'Liv Tyler', 'Donald Sutherland']","['John Axelrad', 'Lee Haugen']","['Regency Enterprises', 'Bona Film Group', 'New Regency', 'Plan B Entertainment', 'Keep Your Head Productions', 'RT Features', 'MadRiver Pictures', 'TSG Entertainment']",2019,0.72,80000000.0,Failure
1653,Downton Abbey,Michael Engler,"['Julian Fellowes', 'Gareth Neame', 'Liz Trubridge']",Ben Smithard,122.0,2019-09-09,"['Universal Pictures (international)', 'Focus Features (United States)']",English,Julian Fellowes,"['Hugh Bonneville', 'Jim Carter', 'Michelle Dockery', 'Elizabeth McGovern', 'Maggie Smith', 'Imelda Staunton', 'Penelope Wilton']",Mark Day,"['Focus Features', 'Perfect World Pictures', 'Carnival Films']",2019,0.7,13000000.0,Success
1654,Rambo: Last Blood,Adrian Grünberg,"['Avi Lerner', 'Kevin King Templeton', 'Yariv Lerner', 'Les Weldon']",Brendan Galvin,89.0,2019-09-20,Lionsgate,English,"['Matthew Cirulnick', 'Sylvester Stallone']","['Sylvester Stallone', 'Paz Vega', 'Sergio Peris-Mencheta', 'Adriana Barraza', 'Yvette Monreal', 'Genie Kim aka Yenah Han', 'Joaquín Cosío', 'Oscar Jaenada']","['Todd E. Miller', 'Carsten Kurpanek']","['Balboa Productions', 'Dadi Film (HK) Ltd.', 'Millennium Media', 'Templeton Media', 'Campbell Grobman Films']",2019,0.65,50000000.0,Failure
1656,Judy,Rupert Goold,David Livingstone,Ole Bratt Birkeland,118.0,2019-08-30,"['20th Century Fox (United Kingdom)', 'Pathé Distribution (France and Switzerland)', 'LD Entertainment', 'Roadside Attractions (United States)']",English,Tom Edge,"['Renée Zellweger', 'Finn Wittrock', 'Jessie Buckley', 'Rufus Sewell', 'Michael Gambon']",Melanie Oliver,"['Pathé', 'BBC Films', 'Ingenious Media', 'Calamity Films']",2019,0.6944444444444444,10000000.0,Success
1657,Joker,Todd Phillips,"['Todd Phillips', 'Bradley Cooper', 'Emma Tillinger Koskoff']",Lawrence Sher,122.0,2019-08-31,Warner Bros. Pictures,English,"['Todd Phillips', 'Scott Silver']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",Jeff Groth,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Bron Creative', 'Joint Effort', 'DC Films']",2019,0.57,55000000.0,Success
1658,Lucy in the Sky,Noah Hawley,"['Reese Witherspoon', 'Bruna Papandrea', 'Noah Hawley', 'John Cameron']",Polly Morgan,124.0,2019-09-11,Fox Searchlight Pictures,English,"['Brian C. Brown', 'Elliott DiGuiseppi', 'Noah Hawley']","['Natalie Portman', 'Jon Hamm', 'Zazie Beetz', 'Dan Stevens', 'Colman Domingo', 'Ellen Burstyn']",Regis Kimble,"['Fox Searchlight Pictures', 'Pacific Standard', '26 Keys Productions', 'TSG Entertainment']",2019,0.75,21400000.0,Failure
1659,Gemini Man,Ang Lee,"['Jerry Bruckheimer', 'David Ellison', 'Dana Goldberg', 'Don Granger']",Dion Beebe,117.0,2019-10-01,Paramount Pictures,English,"['David Benioff', 'Billy Ray', 'Darren Lemke']","['Will Smith', 'Mary Elizabeth Winstead', 'Clive Owen', 'Benedict Wong']",Tim Squyres,"['Skydance', 'Jerry Bruckheimer Films', 'Fosun Pictures', 'Alibaba Pictures']",2019,0.53,138000000.0,Failure
1661,Jexi,"['Jon Lucas', 'Scott Moore']",Suzanne Todd,Ben Kutchins,84.0,2019-10-11,Lionsgate,English,"['Jon Lucas', 'Scott Moore']","['Adam DeVine', 'Alexandra Shipp', 'Ron Funches', 'Charlyne Yi', 'Wanda Sykes', 'Justin Hartley', 'Michael Peña', 'Rose Byrne']",James Thomas,"['CBS Films', 'Entertainment One']",2019,0.37,5000000.0,Failure
1662,Polaroid,Lars Klevberg,"['Roy Lee', 'Chris Bender', 'Michael Mahoney']",Pål Ulvik Rokseth,88.0,2019-01-10,"['Vertical Entertainment (United States)', 'Lantern Entertainment (International co-distribution with 13 Films)']",English,Blair Butler,"['Kathryn Prescott', 'Samantha Logan', 'Tyler Young', 'Javier Botet', 'Mitch Pileggi']",Peter Gvozdas,"['Dimension Films', 'Good Fear Film', 'Eldorado Film', 'Vertigo Entertainment']",2019,0.46,8500000.0,Failure
1663,El Camino: A Breaking Bad Movie,Vince Gilligan,"['Mark Johnson', 'Melissa Bernstein', 'Charles Newirth', 'Vince Gilligan', 'Aaron Paul', 'Diane Mercer']",Marshall Adams,122.0,2019-10-11,"['Netflix', 'Sony Pictures Releasing']",English,Vince Gilligan,"['Aaron Paul', 'Jesse Plemons', 'Krysten Ritter', 'Charles Baker', 'Matt Jones', 'Robert Forster', 'Jonathan Banks', 'Bryan Cranston']",Skip Macdonald,"['Sony Pictures Television', 'Gran Vía Productions', 'High Bridge Productions']",2019,0.59,6000000.0,Failure
1664,Maleficent: Mistress of Evil,Joachim Rønning,"['Joe Roth', 'Angelina Jolie', 'Duncan Henderson']",Henry Braham,119.0,2019-09-30,Walt Disney Studios Motion Pictures,English,"['Linda Woolverton', 'Noah Harpster', 'Micah Fitzerman-Blue']","['Angelina Jolie', 'Elle Fanning', 'Chiwetel Ejiofor', 'Sam Riley', 'Harris Dickinson', 'Ed Skrein', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville', 'Michelle Pfeiffer']","['Laura Jennings', 'Craig Wood']","['Walt Disney Pictures', 'Roth/Kirschenbaum Films']",2019,0.56,186000000.0,Success
1665,Zombieland: Double Tap,Ruben Fleischer,Gavin Polone,Chung-hoon Chung,99.0,2019-10-10,Sony Pictures Releasing,English,"['Rhett Reese', 'Paul Wernick', 'David Callaham']","['Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone', 'Abigail Breslin', 'Rosario Dawson', 'Zoey Deutch', 'Luke Wilson', 'Avan Jogia', 'Thomas Middleditch']",Dirk Westervelt,"['Columbia Pictures', '2.0 Entertainment', 'Pariah']",2019,0.55,42000000.0,Success
1666,Jojo Rabbit,Taika Waititi,"['Carthew Neal', 'Taika Waititi', 'Chelsea Winstanley']",Mihai Mălaimare Jr.,108.0,2019-09-08,Fox Searchlight Pictures,English,Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Taika Waititi', 'Rebel Wilson', 'Stephen Merchant', 'Alfie Allen', 'Sam Rockwell', 'Scarlett Johansson']",Tom Eagles,"['Fox Searchlight Pictures', 'TSG Entertainment', 'Defender Films', 'Piki Films']",2019,0.61,14000000.0,Success
1667,The Lighthouse,Robert Eggers,"['Rodrigo Teixeira', 'Jay Van Hoy', 'Robert Eggers', ""Lourenço Sant'Anna"", 'Youree Henley']",Jarin Blaschke,109.0,2019-05-19,"['A24 (United States)', 'VVS Films (Canada)']",English,"['Robert Eggers', 'Max Eggers']","['Willem Dafoe', 'Robert Pattinson']",Louise Ford,"['A24', 'Regency Enterprises', 'RT Features']",2019,0.63,11000000.0,Failure
1668,Black and Blue,Deon Taylor,['Sean Sorensen'],Dante Spinotti,108.0,2019-09-21,Sony Pictures Releasing,English,Peter A. Dowling,"['Naomie Harris', 'Tyrese Gibson', 'Frank Grillo', 'Mike Colter', 'Reid Scott', 'Beau Knapp']",Peck Prior,"['Screen Gems', 'Royal Viking Entertainment', 'Hidden Empire Film Group']",2019,0.79,12000000.0,Failure
1669,The Current War,Alfonso Gomez-Rejon,"['Timur Bekmambetov', 'Basil Iwanyk']",Chung Chung-hoon,107.0,2017-09-09,"['101 Studios (United States)', 'Lantern Entertainment (International)']",English,Michael Mitnick,"['Benedict Cumberbatch', 'Michael Shannon', 'Katherine Waterston', 'Tom Holland', 'Tuppence Middleton', 'Matthew Macfadyen', 'Nicholas Hoult']","['David Trachtenberg', 'Justin Krohn']","['Bazelevs Company', 'Film Rites', 'Thunder Road Pictures', 'Fourth Floor Productions', 'Lantern Entertainment', 'The Weinstein Company']",2017,0.59,30000000.0,Failure
1670,Countdown,Justin Dec,"['John Rickard', 'Zack Schiller', 'Sean Anders', 'John Morris']",Maxime Alexandre,90.0,2019-10-25,STX Entertainment,English,Justin Dec,"['Elizabeth Lail', 'Jordan Calloway', 'Talitha Bateman', 'Tichina Arnold', 'P.J. Byrne', 'Peter Facinelli', 'Anne Winters', 'Tom Segura']",Brad Wilhite,"['Boies / Schiller Film Group', 'Two Grown Men', 'Wrigley Pictures']",2019,0.4,6500000.0,Success
1671,Terminator: Dark Fate,Tim Miller,"['James Cameron', 'David Ellison']",Ken Seng,128.0,2019-10-23,"['Paramount Pictures (North America)', 'Walt Disney Studios Motion Pictures (through Buena Vista International , International)']",English,"['David S. Goyer', 'Justin Rhodes', 'Billy Ray']","['Linda Hamilton', 'Arnold Schwarzenegger', 'Mackenzie Davis', 'Natalia Reyes', 'Gabriel Luna', 'Diego Boneta']",Julian Clarke,"['20th Century Fox', 'Skydance Media', 'Tencent Pictures', 'TSG Entertainment', 'Lightstorm Entertainment']",2019,0.31,185000000.0,Failure
1672,Motherless Brooklyn,Edward Norton,"['Edward Norton', 'Bill Migliore', 'Gigi Pritzker', 'Rachel Shane', 'Michael Bederman']",Dick Pope,144.0,2019-08-30,Warner Bros. Pictures,English,Edward Norton,"['Edward Norton', 'Bruce Willis', 'Gugu Mbatha-Raw', 'Bobby Cannavale', 'Cherry Jones', 'Alec Baldwin', 'Willem Dafoe']",Joe Klotz,"['Class 5 Films', 'MWM Studios']",2019,0.81,26000000.0,Failure
1673,The Irishman,Martin Scorsese,"['Martin Scorsese', 'Robert De Niro', 'Jane Rosenthal', 'Emma Tillinger Koskoff', 'Irwin Winkler', 'Gerald Chamales', 'Gastón Pavlovich', 'Randall Emmett', 'Gabriele Israilovici']",Rodrigo Prieto,209.0,2019-09-27,Netflix,English,Steven Zaillian,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel', 'Anna Paquin', 'Ray Romano', 'Stephen Graham', 'Bobby Cannavale']",Thelma Schoonmaker,"['Tribeca Productions', 'Sikelia Productions', 'Winkler Films']",2019,0.7,159000000.0,Failure
1674,Harriet,Kasi Lemmons,"['Debra Martin Chase', 'Daniela Taplin Lundberg', 'Gregory Allen Howard']",John Toll,125.0,2019-09-10,"['Focus Features', ' (United States)', 'Universal Pictures', ' (International)']",English,"['Gregory Allen Howard', 'Kasi Lemmons']","['Cynthia Erivo', 'Leslie Odom Jr.', 'Joe Alwyn', 'Janelle Monáe']",Wyatt Smith,"['Perfect World Pictures', 'New Balloon', 'Stay Gold Features']",2019,0.66,17000000.0,Success
1676,Marriage Story,Noah Baumbach,"['David Heyman', 'Noah Baumbach']",Robbie Ryan,137.0,2019-08-29,Netflix,English,Noah Baumbach,"['Scarlett Johansson', 'Adam Driver', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever']",Jennifer Lame,Heyday Films,2019,0.67,18000000.0,Failure
1677,Doctor Sleep,Mike Flanagan,"['Trevor Macy', 'Jon Berg']",Michael Fimognari,152.0,2019-10-21,Warner Bros. Pictures,English,Mike Flanagan,"['Ewan McGregor', 'Rebecca Ferguson', 'Kyliegh Curran', 'Cliff Curtis']",Mike Flanagan,"['Warner Bros. Pictures', 'Intrepid Pictures', 'Vertigo Entertainment']",2019,0.76,45000000.0,Failure
1678,Last Christmas,Paul Feig,"['David Livingstone', 'Emma Thompson', 'Paul Feig', 'Jessie Henderson']",John Schwartzman,103.0,2019-11-08,Universal Pictures,English,"['Emma Thompson', 'Bryony Kimmings']","['Emilia Clarke', 'Henry Golding', 'Michelle Yeoh', 'Emma Thompson']",Brent White,"['Feigco Entertainment', 'Perfect World Pictures', 'Calamity Films']",2019,0.7,25000000.0,Success
1679,Playing with Fire,Andy Fickman,"['Todd Garner', 'Sean Robins']",Dean Semler,96.0,2019-11-08,Paramount Pictures,English,"['Dan Ewen', 'Matt Lieberman']","['John Cena', 'Keegan-Michael Key', 'John Leguizamo', 'Brianna Hildebrand', 'Dennis Haysbert', 'Judy Greer']",Elísabet Ronaldsdóttir,"['Paramount Players', 'Nickelodeon Movies', 'Walden Media', 'Broken Road Productions']",2019,0.66,29900000.0,Success
1680,Midway,Roland Emmerich,"['Roland Emmerich', 'Harald Kloser']",Robby Baumgartner,138.0,2019-11-08,"['Lionsgate (United States and United Kingdom)', 'Elevation Pictures (Canada)', 'AGC International (International)']",English,Wes Tooke,"['Ed Skrein', 'Patrick Wilson', 'Luke Evans', 'Aaron Eckhart', 'Nick Jonas', 'Etsushi Toyokawa', 'Tadanobu Asano', 'Luke Kleintank', 'Jun Kunimura', 'Darren Criss', 'Keean Johnson', 'Mandy Moore', 'Dennis Quaid', 'Woody Harrelson']",Adam Wolfe,"['Summit Entertainment', 'Centropolis Entertainment', 'AGC Studios', 'Ruyi Films', 'Starlight Culture Entertainment', 'Street Entertainment', 'Entertainment One', 'The Mark Gordon Company']",2019,0.56,100000000.0,Failure
1681,Honey Boy,Alma Har'el,"['Anita Gou', ""Alma Har'el"", 'Brian Kavanaugh-Jones', 'Christopher Legget', 'Daniela Taplin Lundberg']",Natasha Braier,94.0,2019-01-25,Amazon Studios,English,Shia LaBeouf,"['Shia LaBeouf', 'Lucas Hedges', 'Noah Jupe', 'FKA twigs', 'Maika Monroe', 'Natasha Lyonne']","['Dominic LaPerriere', 'Monica Salazar']","['Automatik', 'Stay Gold Features', 'Delirio Films']",2019,0.77,3500000.0,Failure
1682,Ford v Ferrari,James Mangold,"['Peter Chernin', 'Jenno Topping', 'James Mangold']",Phedon Papamichael,152.0,2019-08-30,20th Century Fox,English,"['Jez Butterworth', 'John-Henry Butterworth', 'Jason Keller']","['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe', 'Tracy Letts', 'Josh Lucas']","['Michael McCusker', 'Andrew Buckland']","['Chernin Entertainment', 'TSG Entertainment', 'Turnpike Films']",2019,0.68,97600000.0,Success
1683,Charlie's Angels,Elizabeth Banks,"['Doug Belgrad', 'Elizabeth Cantillon', 'Max Handelman', 'Elizabeth Banks']",Bill Pope,118.0,2019-11-14,Sony Pictures Releasing,English,Elizabeth Banks,"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks', 'Djimon Hounsou', 'Sam Claflin', 'Noah Centineo', 'Patrick Stewart']",Alan Baumgarten,"['Columbia Pictures', 'Perfect World Pictures', '2.0 Entertainment', 'Brownstone Productions', 'Cantillon Company']",2019,0.5,48000000.0,Failure
1684,The Good Liar,Bill Condon,"['Bill Condon', 'Greg Yolen']",Tobias A. Schliessler,109.0,2019-10-28,Warner Bros. Pictures,English,Jeffrey Hatcher,"['Helen Mirren', 'Ian McKellen', 'Russell Tovey', 'Jim Carter']",Virginia Katz,"['New Line Cinema', 'Bron Creative', '1000 Eyes']",2019,0.94,10000000.0,Success
1685,The Report,Scott Z. Burns,"['Steven Soderbergh', 'Jennifer Fox', 'Scott Z. Burns', 'Kerry Orent', 'Michael Sugar', 'Eddy Moretti', 'Danny Gabai']",Eigil Bryld,119.0,2019-01-26,Amazon Studios,English,Scott Z. Burns,"['Adam Driver', 'Annette Bening', 'Jon Hamm', 'Ted Levine', 'Michael C. Hall', 'Tim Blake Nelson', 'Corey Stoll', 'Maura Tierney']",Greg O'Bryant,"['VICE Studios', 'Unbranded Pictures', 'Margin of Error', 'Topic Studios']",2019,0.69,8000000.0,Failure
1686,Waves,Trey Edward Shults,"['Kevin Turen', 'James Wilson', 'Trey Edward Shults']",Drew Daniels,135.0,2019-08-30,A24,English,Trey Edward Shults,"['Kelvin Harrison Jr.', 'Taylor Russell', 'Sterling K. Brown', 'Renée Elise Goldsberry', 'Alexa Demie', 'Lucas Hedges']","['Trey Edward Shults', 'Isaac Hagy']","['Guy Grand Productions', 'JW Films']",2019,0.71,6000000.0,Failure
1688,A Beautiful Day in the Neighborhood,Marielle Heller,"['Youree Henley', 'Peter Saraf', 'Marc Turtletaub', 'Leah Holzer']",Jody Lee Lipes,109.0,2019-09-07,Sony Pictures Releasing,English,"['Micah Fitzerman-Blue', 'Noah Harpster']","['Tom Hanks', 'Matthew Rhys', 'Susan Kelechi Watson', 'Chris Cooper']",Anne McCabe,"['TriStar Pictures', 'Tencent Pictures', 'Big Beach', 'Youree Henley Productions']",2019,0.75,25000000.0,Success
1689,21 Bridges,Brian Kirk,"['Anthony Russo Joe Russo', 'Mike Larocca', 'Robert Simonds', 'Gigi Pritzker', 'Chadwick Boseman', 'Logan Coles']",Paul Cameron,100.0,2019-11-22,STXfilms,English,"['Adam Mervis', 'Matthew Michael Carnahan']","['Chadwick Boseman', 'Sienna Miller', 'Stephan James', 'Keith David', 'Taylor Kitsch', 'J. K. Simmons']",Tim Murrell,"['MWM Studios', 'H. Brothers', 'AGBO', 'X-Ception Content']",2019,0.68,33000000.0,Failure
1690,Knives Out,Rian Johnson,"['Ram Bergman', 'Rian Johnson']",Steve Yedlin,130.0,2019-09-07,Lionsgate,English,Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'LaKeith Stanfield', 'Katherine Langford', 'Jaeden Martell', 'Christopher Plummer']",Bob Ducsay,"['MRC', 'T-Street Productions', 'Ram Bergman Productions']",2019,0.61,40000000.0,Success
1691,Queen & Slim,Melina Matsoukas,"['Lena Waithe', 'Melina Matsoukas', 'Michelle Knudsen', 'Andrew Coles', 'Brad Weston', 'Pamela Abdy']",Tat Radcliffe,132.0,2019-11-14,Universal Pictures,English,Lena Waithe,"['Daniel Kaluuya', 'Jodie Turner-Smith', 'Bokeem Woodbine', 'Chloë Sevigny', 'Flea', 'Sturgill Simpson', 'Indya Moore']",Pete Beaudreau,"['Universal Pictures', 'Entertainment One', '3Blackdot', 'Makeready', 'De La Revolución Films', 'Hillman Grad Productions', 'Bron Creative']",2019,0.55,17000000.0,Success
1692,Playmobil: The Movie,Lino DiSalvo,"['Aton Soumache', 'Dimitri Rassam', 'Moritz Borman', 'Alexis Vonarb', 'Axel Von Maydell', 'Timothy Burrill', 'Bing Wu']",André Turpin,99.0,2019-06-10,"['Pathé Distribution (France)', 'StudioCanal (United Kingdom)', 'STXfilms (United States)', 'Leonine Distribution (Germany)']",English,"['Blaise Hemingway', 'Greg Erb', 'Jason Oremland']","['Anya Taylor-Joy', 'Jim Gaffigan', 'Gabriel Bateman', 'Adam Lambert', 'Kenan Thompson', 'Meghan Trainor', 'Daniel Radcliffe']",Maurissa Horwitz,"['DMG Entertainment M6 Films Morgen Studios ON Animation Studios Wild Bunch', 'DMG Entertainment', 'M6 Films', 'Morgen Studios', 'ON Animation Studios', 'Wild Bunch']",2019,0.45,40000000.0,Failure
1693,The Aeronauts,Tom Harper,"['Todd Lieberman', 'David Hoberman', 'Tom Harper']",George Steel,100.0,2019-08-30,"['Entertainment One (United Kingdom)', 'Amazon Studios (United States)']",English,Jack Thorne,"['Eddie Redmayne', 'Felicity Jones', 'Himesh Patel', 'Tom Courtenay']",Mark Eckersley,"['Mandeville Films', 'FilmNation Entertainment']",2019,0.62,40000000.0,Failure
1694,Jumanji: The Next Level,Jake Kasdan,"['Dwayne Johnson', 'Dany Garcia', 'Hiram Garcia', 'Matt Tolmach', 'Jake Kasdan']",Gyula Pados,123.0,2019-12-13,Sony Pictures Releasing,English,"['Jake Kasdan', 'Jeff Pinkner', 'Scott Rosenberg']","['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan']","['Mark Helfrich', 'Steve Edwards', 'Tara Timpone']","['Columbia Pictures', 'Matt Tolmach Productions', 'Seven Bucks Productions', 'The Detective Agency']",2019,0.51,125000000.0,Success
1695,Richard Jewell,Clint Eastwood,"['Tim Moore', 'Jessica Meier', 'Kevin Misher', 'Leonardo DiCaprio', 'Jennifer Davisson', 'Jonah Hill', 'Clint Eastwood']",Yves Bélanger,129.0,2019-11-20,Warner Bros. Pictures,English,Billy Ray,"['Sam Rockwell', 'Kathy Bates', 'Jon Hamm', 'Olivia Wilde', 'Paul Walter Hauser']",Joel Cox,"['Malpaso Productions', 'Appian Way Productions', 'Misher Films', '75 Year Plan Productions']",2019,0.58,45000000.0,Failure
1696,Black Christmas,Sophia Takal,"['Jason Blum', 'Ben Cosgrove', 'Adam Hendricks', 'Brigitte Berman']",Mark Schwartzbard,92.0,2019-12-13,Universal Pictures,English,"['Sophia Takal', 'April Wolfe']","['Imogen Poots', 'Aleyse Shannon', 'Lily Donoghue', ""Brittany O'Grady"", 'Caleb Eberhardt', 'Cary Elwes']","['Jeff Betancourt', 'Ben Baudhuin']","['Blumhouse Productions', 'Divide/Conquer']",2019,0.28,5000000.0,Success
1697,Bombshell,Jay Roach,"['Aaron L. Glibert', 'Jay Roach', 'Robert Graf', 'Michelle Graham', 'Charles Randolph', 'Margaret Riley', 'Charlize Theron', 'A.J. Dix', 'Beth Kono']",Barry Ackroyd,109.0,2019-12-13,Lionsgate,English,Charles Randolph,"['Charlize Theron', 'Nicole Kidman', 'Margot Robbie', 'John Lithgow', 'Kate McKinnon', 'Connie Britton', 'Malcolm McDowell', 'Allison Janney']",Jon Poll,"['Bron Studios', 'Annapurna Pictures', 'Denver and Delilah Productions', 'Gramsci', 'Lighthouse Management & Media', 'Creative Wealth Media']",2019,0.73,32000000.0,Failure
1698,Uncut Gems,director,producer,Darius Khondji,135.0,2019-08-30,distributor,English,writer,"['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox', 'Kevin Garnett', 'Idina Menzel', 'Eric Bogosian']","['Ronald Bronstein', 'Benny Safdie']","['A24', 'Elara Pictures', 'IAC Films', 'Sikelia Productions', 'Scott Rudin Productions']",2019,0.57,19000000.0,Success
1699,Seberg,Benedict Andrews,"['Marina Acton', 'Fred Berger', 'Kate Garwood', 'Stephen Hopkins', 'Brian Kavanaugh-Jones', 'Bradley Pilz', 'Alan Ritchson']",Rachel Morrison,102.0,2019-08-30,"['Amazon Studios (United States)', 'Universal Pictures (United Kingdom)']",English,"['Joe Shrapnel', 'Anna Waterhouse']","['Kristen Stewart', ""Jack O'Connell"", 'Margaret Qualley', 'Zazie Beetz', 'Vince Vaughn', 'Anthony Mackie']",Pamela Martin,"['Automatik Entertainment', 'Bradley Pilz Productions', 'Phreaker Films', 'Ingenious Media', 'Totally Commercial Films']",2019,0.67,8000000.0,Failure
1700,A Hidden Life,Terrence Malick,"['Elisabeth Bentley', 'Dario Bergesio', 'Grant Hill', 'Josh Jeter']",Jörg Widmer,174.0,2019-05-19,"['Fox Searchlight Pictures', ' (United States)', 'Pandora Film', ' (Germany)']",English,Terrence Malick,"['August Diehl', 'Valerie Pachner', 'Matthias Schoenaerts']","['Rehman Nizar Ali', 'Joe Gleason', 'Sebastian Jones']","['Elizabeth Bay Productions', 'Aceway', 'TSG Entertainment', 'Studio Babelsberg']",2019,0.79,7000000.0,Failure
1701,Star Wars: The Rise of Skywalker,J. J. Abrams,"['Kathleen Kennedy', 'J. J. Abrams', 'Michelle Rejwan']",Dan Mindel,142.0,2019-12-16,Walt Disney Studios Motion Pictures,English,"['Chris Terrio', 'J. J. Abrams']","['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']","['Maryann Brandon', 'Stefan Grube']","['Lucasfilm Ltd.', 'Bad Robot']",2019,0.53,416000000.0,Success
1702,Cats,Tom Hooper,"['Debra Hayward', 'Tim Bevan', 'Eric Fellner', 'Tom Hooper']",Christopher Ross,110.0,2019-12-16,Universal Pictures,English,"['Lee Hall', 'Tom Hooper']","['James Corden', 'Judi Dench', 'Jason Derulo', 'Idris Elba', 'Jennifer Hudson', 'Ian McKellen', 'Taylor Swift', 'Rebel Wilson', 'Francesca Hayward']",Melanie Oliver,"['Working Title Films', 'Amblin Entertainment', 'Perfect World Pictures', 'Monumental Pictures', 'The Really Useful Group']",2019,0.27,80000000.0,Failure
1704,Little Women,Greta Gerwig,"['Amy Pascal', 'Denise Di Novi', 'Robin Swicord']",Yorick Le Saux,135.0,2019-12-07,Sony Pictures Releasing,English,Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen', 'Laura Dern', 'Timothée Chalamet', 'Meryl Streep', 'Tracy Letts', 'Bob Odenkirk', 'James Norton', 'Louis Garrel', 'Chris Cooper']",Nick Houy,"['Columbia Pictures', 'Regency Enterprises', 'Pascal Pictures']",2019,0.71,40000000.0,Success
1705,1917,Sam Mendes,"['Sam Mendes', 'Pippa Harris', 'Jayne-Ann Tenggren', 'Callum McDougall', 'Brian Oliver']",Roger Deakins,119.0,2019-12-04,"['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",English,"['Sam Mendes', 'Krysty Wilson-Cairns']","['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Colin Firth', 'Benedict Cumberbatch']",Lee Smith,"['DreamWorks Pictures', 'Reliance Entertainment', 'New Republic Pictures', 'Mogambo', 'Neal Street Productions', 'Amblin Partners']",2019,0.63,90000000.0,Success
1706,Just Mercy,Destin Daniel Cretton,Gil Netter,Brett Pawlak,137.0,2019-09-06,Warner Bros. Pictures,English,"['Destin Daniel Cretton', 'Andrew Lanham']","['Michael B. Jordan', 'Jamie Foxx', 'Rob Morgan', 'Tim Blake Nelson', 'Rafe Spall', 'Brie Larson']",Nat Sanders,"['Endeavor Content', 'One Community', 'Participant Media', 'Macro Media', 'Gil Netter Productions', 'Outlier Society']",2019,0.77,25000000.0,Failure
1707,The Grudge,Nicolas Pesce,"['Sam Raimi', 'Rob Tapert', 'Takashige Ichise']",Zachary Galler,94.0,2019-12-31,Sony Pictures Releasing,English,Nicolas Pesce,"['Andrea Riseborough', 'Demián Bichir', 'John Cho', 'Betty Gilpin', 'Lin Shaye', 'Jacki Weaver']","['Gardner Gould', 'Ken Blackwell']","['Screen Gems', 'Stage 6 Films', 'Ghost House Pictures']",2019,0.36,12000000.0,Success
1708,Underwater,William Eubank,"['Peter Chernin', 'Tonia Davis', 'Jenno Topping']",Bojan Bazelli,95.0,2020-01-10,20th Century Fox,English,"['Brian Duffield', 'Adam Cozad']","['Kristen Stewart', 'Vincent Cassel', 'Jessica Henwick', 'John Gallagher Jr.', 'Mamoudou Athie', 'T.J. Miller']","['Todd E. Miller', 'Brian Berdan', 'William Hoy']","['20th Century Fox', 'TSG Entertainment', 'Chernin Entertainment']",2020,0.59,50000000.0,Failure
1709,Like a Boss,Miguel Arteta,"['Marc Evans', 'Peter Principato', 'Itay Reiss', 'Joel Zadak']",Jas Shelton,83.0,2020-01-07,Paramount Pictures,English,"['Sam Pitman', 'Adam Cole-Kelly']","['Tiffany Haddish', 'Rose Byrne', 'Jennifer Coolidge', 'Billy Porter', 'Salma Hayek']",Jay Deuby,Artists First,2020,0.59,29000000.0,Failure
